post_id,text,intended_category
S01,やっとボンドロ買えた！ずっと欲しかったやつ！うれしい,喜び・満足
S02,推しのボンボンドロップシール当たった〜！最高すぎる,喜び・満足
S03,定価で買えたの奇跡すぎて泣いた,喜び・満足
S04,ボンドロのシール帳やっと完成した！かわいい〜,喜び・満足
S05,妹にボンボンドロップシールもらった、うれしい,喜び・満足
S06,ボンボンドロップシールほしい…どこにあるんだろう,欲望・執着
S07,ボンドロ集めたいのに全然集まらない、沼だなこれ,欲望・執着
S08,クロミのボンドロだけがどうしても欲しい,欲望・執着
S09,ボンボンドロップシール探してます、どなたか目撃情報ください,欲望・執着
S10,今月のお給料はボンドロに全部使う予定,欲望・執着
S11,転売ヤーのせいで買えない、本当に腹立つ,不満・怒り
S12,またボンドロ売り切れ…もう嫌になってきた,不満・怒り
S13,買い占めはやめてほしい、子どもが買えないでしょ,不満・怒り
S14,定価の3倍で売ってるの見て気分悪くなった,不満・怒り
S15,ボンドロ全然見つからなくてしんどい,不満・怒り
S16,開店ダッシュしたけどボンドロ既になかった,焦り・競争
S17,ドンキの前にもう行列できてる、朝から大変だな,焦り・競争
S18,ボンドロ争奪戦がすごい、今日も即完売だった,焦り・競争
S19,今から並びます、間に合うといいな,焦り・競争
S20,【交換】譲：シナモロール 求：クロミ 郵送対応可能です,交換・取引
S21,ボンドロ交換してくださる方いませんか？1:1希望です,交換・取引
S22,【譲】ハチワレ2枚 【求】キティ 検索より失礼します,交換・取引
S23,ボンドロのダブりを交換したいです、ご検討よろしくお願いします,交換・取引
S24,求：たまごっち 譲：うさぎ 手渡し希望です,交換・取引
S25,セリアにボンドロ入荷してました、まだ在庫ありそうです,情報共有
S26,新シリーズは来月発売だそうです、公式が発表してました,情報共有
S27,アベイルの店舗にボンドロ再入荷してるって聞きました,情報共有
S28,ボンドロの取扱店舗リストが公式サイトに出てます,情報共有
S29,ボンボンドロップシールってそんなに人気なんだ,中立
S30,昔もこういうシール流行ってたよね、懐かしい,中立
